,address,lat,lon,name,subCategory
0,23 Quai Anatole France,48.862078000000004,2.322534,Concorde Atlantique,Boat or Ferry
1,17 Place du Trocadéro,48.862300919263,2.288224697113,Palais de Chaillot,Monument / Landmark
2,Quai François Mauriac,48.833678839753,2.3756861686707,Bibliothèque Nationale de France (BNF),Library
3,Place Charles de Gaulle,48.873796999999996,2.294952,Arc de Triomphe,Monument / Landmark
4,4 Boulevard du Palais,48.855919909377,2.3446369171143,Palais de Justice de Paris,Courthouse
5,Place du Panthéon,48.846283325284006,2.3460638523102,Panthéon,Monument / Landmark
6,15 Rue de Vaugirard,48.848776,2.337293,Palais du Luxembourg,Monument / Landmark
7,18 Rue de Dunkerque,48.880775847872,2.3552370071411,Gare SNCF de Paris-Nord,Train Station
8,Place Octave Chanute,48.865806,2.407556,La Campagne à Paris,Housing Development
9,Hôtel d'Évreux,48.870333993871,2.3162339595141,Palais de l'Élysée,Government Building
10,Port de la Bourdonnais,48.860423405685,2.2939538955687997,Bateaux Parisiens,Boat or Ferry
11,14 rue La Fontaine,48.852303000000006,2.27454,Castel Beranger,Building
12,15 rue Merlin,48.860440894381,2.3851696890505,Salle Olympe de Gouges,Monument / Landmark
13,Port de la Bourdonnais,48.860747129406,2.2947237634297997,Port de la Bourdonnais,Harbor / Marina
14,68 Rue François Miron,48.855639577106,2.3580792961032,Hôtel de Beauvais,Historic Site
15,17 Quai d'Anjou,48.851501484831,2.3599297580558,Hôtel de Lauzun,Monument / Landmark
16,46 Rue du Bac,48.856325916807,2.3264923677794003,Deyrolle,Miscellaneous Shop
17,7 Place du Parvis Notre-Dame,48.85339733802301,2.3478759174598998,Crypte Archéologique du Parvis Notre-Dame,Monument / Landmark
18,23 Quai de Conti,48.857282295048996,2.3369336128235,Institut de France,Government Building
19,Boulevard Auguste Blanqui,48.831348184153995,2.3434356865456,Boulevard Auguste Blanqui,Road
20,Boulevard Mortier,48.871115606256,2.4088451607907997,Boulevard Mortier,Road
21,Boulevard de Port-Royal,48.83742167914001,2.3468255996704,Boulevard de Port-Royal,Road
22,Rue du Télégraphe,48.873707521924,2.3992546292135,Rue du Télégraphe,Road
23,Rue Belgrand,48.8647999992,2.4007185796202,Rue Belgrand,Monument / Landmark
24,Avenue d’Italie,48.825387101633,2.3574900627136,Avenue d’Italie,Road
25,61 rue Boissière,48.868288839336,2.2876713659224,Centre Culturel de Russie,Convention Center
26,28 Rue Saint-Dominique,48.860136,2.317125,Maison de la Chimie,Convention Center
27,Rue des Francs-Bourgeois,48.858107788926,2.3603722003785,Rue des Francs-Bourgeois,Road
28,Port Henri IV,48.847914262204,2.36332654953,Yachts de Paris,Boat or Ferry
29,1 Place de la Porte de Versailles,48.831588377564,2.2870016098022004,Parc des Expositions de la Porte de Versailles,Convention Center
30,67 Rue du Faubourg Saint Martin,48.871927914974,2.3571051414018998,Espace Tapis Rouge,Convention Center
31,1 à 13 Quai de Grenelle,48.85406925,2.288122,CAP 15,Convention Center
32,9 Avenue Hoche,48.8772265375,2.3041240000000003,Salons Hoche,Meeting Room
33,87 bd de Port Royal,48.83825,2.342605,S.O.S Médecins,Medical Center
34,Port de Solferino,48.860949101226,2.3258543470516004,Marina de Paris (La),Boat or Ferry
35,Avenue des Champs-Élysées,48.870388950616,2.3055410385132005,Avenue des Champs-Élysées,Road
36,13 Rue d'Amsterdam,48.876372969982995,2.3253893852234,Gare SNCF de Paris Saint-Lazare,Train Station
37,Place du 11 Novembre 1918,48.877120922078,2.3594212532043,Gare SNCF de Paris-Est,Train Station
38,17 boulevard Jourdan,48.820887517867,2.3390042781830003,RER Cité Universitaire [B],Train Station
39,1 bd de la tour maubourg,48.86161226425801,2.310587696467,Centre Culturel de Chine à Paris,Embassy / Consulate
40,18 Place Adolphe Cherioux,48.839441283853,2.3009705543518,Métro Vaugirard [12],Subway
41,Rue du Poteau,48.894061775345,2.3419792811516,Rue du Poteau,Road
42,Rue de l'Assomption,48.853743347272996,2.2718100013666,Rue de l'Assomption,Road
43,Rue des Pyrénées,48.862244,2.400041,Rue des Pyrénées,Road
44,1 Boulevard de Montparnasse,48.846798735333,2.3165702819823997,"Métro Duroc [10,13]",Subway
45,Boulevard Haussmann,48.874849130277994,2.3188950189993998,Boulevard Haussmann,Road
46,Rue Vieille du Temple,48.859915194409,2.3607516288757004,Rue Vieille du Temple,Road
47,15 rue Eugène Millon,48.837773822188,2.2927114693212998,Hôpital Cognac-Jay,Hospital
48,25 rue Claude Tillier,48.848580123861,2.3882906979716,ADBS,Meeting Room
49,22-30 avenue de Wagram,48.876417096043994,2.2976429720385,EDF (bâtiment Wagram),Office
50,94 Boulevard Garibaldi,48.845605517693,2.3095750808716002,Métro Sèvres—Lecourbe [6],Subway
51,162 Rue de Vaugirard,48.842682367363004,2.3127830028533998,"Métro Pasteur [6,12]",Subway
52,Rue Mabillon,48.852856170924994,2.335410118103,Métro Mabillon [10],Subway
53,Rue Choiseul,48.870232943939,2.3357570793474998,rue Choiseul,Road
54,21 Boulevard Ornano,48.893304994544,2.3481559753418,Métro Simplon [4],Subway
55,Rue Daguerre,48.834082980179005,2.3289482097039,Rue Daguerre,Road
56,Place Beauvau,48.871207561562,2.3163771629334,Hôtel de Beauvau - Ministère de l'Intérieur,Government Building
57,8/10 Rue Mario Nikis,48.848141762901,2.304541769823,European Space Agency HQ,Government Building
58,Place Saint-Germain-des-Prés,48.853759781483,2.3335003852844,Métro Saint-Germain-des-Prés [4],Subway
59,44 rue Charles Moureu,48.829102308991004,2.3606014251708998,Centre de santé Edison,Medical Center
60,Port de Suffren,48.858872980256,2.2916269279252997,Vedettes de Paris,Boat or Ferry
61,,48.838936806782996,2.357984308117,Clinique du sport,Hospital
62,Avenue de l'Opéra,48.865787543339,2.3343801498413,"Métro Pyramides [7,14]",Subway
63,Rue de Courcelles,48.88166484349399,2.3005414009094,Rue de Courcelles,Road
64,Rue du Chevaleret,48.829808591016,2.3763513565062997,Métro Bibliothèque François Mitterrand [14],Subway
65,51 Rue Réaumur,48.866246291581,2.3525011539458998,"Métro Réaumur—Sébastopol [3,4]",Subway
66,Avenue Mozart,48.852810612333,2.268583214624,Avenue Mozart,Road
67,Boulevard Malesherbes,48.878024094608,2.3159265518187997,Boulevard Malesherbes,Road
68,Rue Pixérécourt,48.873698985178,2.3957990788361,Rue Pixérécourt,Road
69,Rue du Faubourg Saint-Honoré,48.871391041487996,2.3154759407043,Rue du Faubourg Saint-Honoré,Road
70,67 Boulevard Barbès,48.891470968768,2.3495292663573997,"Métro Marcadet—Poissonniers [4,12]",Subway
71,Rue de Buci,48.853753803583004,2.3378453119606,Rue de Buci,Road
72,126 Rue Raymond Losserand,48.831729627757,2.3139953613281,Métro Plaisance [13],Subway
73,,48.844143,2.390419,IFSI des Diaconesses,General College & University
74,141 Boulevard Saint-Michel,48.85339269166099,2.3439931869507005,Métro Saint-Michel [4],Subway
75,Place de l'Étoile,48.874241950808,2.2954130172729,"Métro Charles de Gaulle-Étoile [1,2,6]",Subway
76,Place de la Nation,48.848719120588996,2.3960065841675,RER Nation [A],Train Station
77,Rue Lafayette,48.878519750897,2.3531894604022003,Rue La Fayette,Road
